Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:5OKvzalkd5mleOvq9ri50V,"Galera do Interior","Batom de Ouro","Os Barões Da Pisadinha",2019-09-26,136097,53,false,312ctbywossydaez37pttmshkwk4,2024-03-07T12:23:03Z,"piseiro,forró,sertanejo,arrocha,brega,agronejo,tecnobrega,sertanejo universitário","Sony Music Entertainment",0.796,0.931,7,-6.327,1,0.0634,0.617,0,0.0475,0.963,171.959,4
spotify:track:4VHNdX2xnpHuHDo9z4raiL,"Piloto","De Norte a Sul","João Gomes",2023-11-30,143957,65,false,312ctbywossydaez37pttmshkwk4,2024-03-07T12:23:17Z,"piseiro,forró,arrocha,sertanejo,brega,forró tradicional","JG Shows",0.747,0.882,9,-3.757,0,0.0477,0.523,0.00006,0.184,0.647,138.008,4
spotify:track:54u86CmMqGI1rRuULlTqaB,"Toca o Trompete","Cadê o After? Pt. 1","Felipe Amorim",2023-07-21,163200,67,true,312ctbywossydaez37pttmshkwk4,2024-03-07T12:33:19Z,"piseiro,forró,arrocha,sertanejo,agronejo,brega","One Play",0.947,0.75,6,-0.855,0,0.0534,0.424,0.0000476,0.0845,0.961,124.993,4
spotify:track:6wDzwmywQ2X8O0FN1IQGol,"Cabeça Voando","Agora Eu Pego Mesmo","Os Barões Da Pisadinha",2019-09-26,183536,56,false,312ctbywossydaez37pttmshkwk4,2024-03-07T12:35:56Z,"piseiro,forró,sertanejo,arrocha,brega,agronejo,tecnobrega,sertanejo universitário","Sony Music Entertainment",0.659,0.834,6,-6.493,1,0.0439,0.387,0.0000132,0.121,0.963,172.008,4
spotify:track:5btDKzAsFh975NSWxwBHRc,"Coisas Que Eu Sei","Coisas Que Eu Sei","Felipe Amorim",2023-04-07,192240,66,false,312ctbywossydaez37pttmshkwk4,2024-03-07T12:47:25Z,"piseiro,forró,arrocha,sertanejo,agronejo,brega","One Play",0.877,0.777,3,-2.399,0,0.0387,0.451,0.00000906,0.159,0.934,124.997,4
spotify:track:71FrGl0XcpL3VId65tB5mg,"Recairei - Ao Vivo","Recairei (Ao Vivo)","Os Barões Da Pisadinha",2020-04-17,166837,53,false,312ctbywossydaez37pttmshkwk4,2024-03-07T13:02:06Z,"piseiro,forró,sertanejo,arrocha,brega,agronejo,tecnobrega,sertanejo universitário","Sony Music Entertainment",0.582,0.937,10,-2.118,1,0.0858,0.449,0,0.684,0.939,168.096,4
spotify:track:6AENBD8I0mDGglFqrRZGu7,"Canudinho - Ao Vivo","Canudinho (Ao Vivo)","Gusttavo Lima;Ana Castela",2023-08-30,124511,60,false,312ctbywossydaez37pttmshkwk4,2024-03-07T13:06:23Z,"sertanejo,sertanejo universitário,arrocha,agronejo,piseiro,forró","Sony Music Entertainment",0.706,0.866,4,-3.337,1,0.075,0.242,0,0.381,0.91,166.985,4
spotify:track:5SBwdQwgcGDJOAFBMKct7s,"Isso é Vaquejada","Forró Pesado","Tarcísio do Acordeon",2023-04-28,190212,54,false,312ctbywossydaez37pttmshkwk4,2024-03-07T14:13:48Z,"piseiro,forró,arrocha,sertanejo,seresta,brega","Sua Música Digital",0.633,0.876,4,-5.773,0,0.0454,0.221,0,0.511,0.863,134.982,4
spotify:track:6lg2fT4Bn2Q9fik9xDW9ug,"Quero Mais","Ao Vivo em Saturno","Deavele Santos",2023-08-23,181466,0,false,312ctbywossydaez37pttmshkwk4,2024-03-07T14:16:30Z,"piseiro,forró,arrocha","Administração Midias Brasil",0.69,0.91,10,0.067,0,0.114,0.16,0.00531,0.131,0.885,189.051,4
spotify:track:4nyQshn0cfaRvvnu02Wcqn,"Bebê Vem Me Procurar","Batom de Ouro","Os Barões Da Pisadinha",2019-09-26,147252,62,false,312ctbywossydaez37pttmshkwk4,2024-03-07T14:22:45Z,"piseiro,forró,sertanejo,arrocha,brega,agronejo,tecnobrega,sertanejo universitário","Sony Music Entertainment",0.699,0.76,5,-6.242,0,0.0435,0.585,0,0.0566,0.963,171.951,4
