Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:2gChdW50WOzAYsK3P5JJot,"Deixa Alagar - Ao Vivo","O Bom Samba Continua - Ao Vivo, Vol. 2","Grupo Revelação",2018-06-08,203984,70,false,312ctbywossydaez37pttmshkwk4,2026-01-23T05:18:45Z,"pagode,samba","Deckdisc",0.589,0.911,7,-5.755,0,0.0945,0.478,0,0.938,0.818,100.992,4
spotify:track:6ycaCm185cxHgc6ZAGgoMV,"Ô Queiroz - Live At HSBC Arena/Rio de Janeiro(RJ)-Brazil/2012","360º Ao Vivo","Grupo Revelação",2012-01-01,207186,67,false,312ctbywossydaez37pttmshkwk4,2026-01-23T05:19:37Z,"pagode,samba","Universal Music Ltda.",0.59,0.776,0,-7.709,1,0.0614,0.755,0,0.749,0.875,99.334,4
spotify:track:1IXlKFVhuqqz4JACzcxNBm,"Conselho - Ao Vivo","Samba de Raiz - Ao Vivo, Vol. 2","Samba De Raiz",2002-08-05,203000,59,false,312ctbywossydaez37pttmshkwk4,2026-01-23T05:26:25Z,"samba,pagode","Deckdisc",0.626,0.837,7,-9.275,1,0.299,0.706,0,0.491,0.92,96.32,4
spotify:track:2pVNpc1uoGwKvE8x2VHTXG,"Deixa em Off - Ao Vivo","Turma do Pagode XV Anos (Ao Vivo) [Deluxe]","Turma do Pagode",2016-03-18,173586,68,false,312ctbywossydaez37pttmshkwk4,2026-01-23T05:31:06Z,"pagode,samba","Sony Music Entertainment",0.599,0.812,11,-5.749,0,0.0532,0.732,0,0.868,0.716,96.049,4
spotify:track:6IFF888dQ0P6ilbj4kL6G8,"Aquele Lugar - Ao Vivo","MOLHO (Ao Vivo)","Grupo Menos É Mais",2025-10-16,167528,76,false,312ctbywossydaez37pttmshkwk4,2026-01-23T05:40:51Z,"pagode,samba","Som Livre",0.628,0.59,1,-8.309,1,0.0493,0.46,0,0.771,0.785,176.017,4
spotify:track:36SJ7ZFx8J1f1RsewmUwMX,"Magalenha","Brasileiro","Sérgio Mendes",1992-06-17,216933,74,false,312ctbywossydaez37pttmshkwk4,2026-01-23T05:44:29Z,"brazilian jazz,bossa nova,samba","Craft Recordings",0.82,0.634,9,-13.816,1,0.0747,0.128,0,0.0971,0.716,116.625,4
spotify:track:2AX8asCpJSCGnPVlRIopVa,"Mas Que Nada","Herb Alpert Presents Sergio Mendes & Brasil '66","Sergio Mendes & Brasil '66",1966-08-01,158773,66,false,312ctbywossydaez37pttmshkwk4,2026-01-23T05:46:41Z,"bossa nova,brazilian jazz,latin jazz","A&M JAZZ",0.637,0.487,0,-12.671,0,0.0423,0.602,0.000139,0.283,0.907,88.983,4
spotify:track:1zkx0x3aP43SHG3pt9cFRY,"Deixa Acontecer - Ao Vivo","Ao Vivo - Na Palma da Mão","Grupo Revelação",2004-06-17,260493,66,false,312ctbywossydaez37pttmshkwk4,2026-01-23T05:50:11Z,"pagode,samba","Deckdisc",0.658,0.793,11,-6.934,0,0.0418,0.628,0,0.958,0.962,92.889,4
spotify:track:4f0aDk7HX37SfzerfznYlr,"Lapada Dela - Ao Vivo","Confia (Ao Vivo)","Grupo Menos É Mais;Matheus Fernandes",2023-01-20,159322,78,false,312ctbywossydaez37pttmshkwk4,2026-01-23T05:52:17Z,"pagode,samba,piseiro,sertanejo,forró,arrocha","Som Livre",0.691,0.752,4,-6.796,0,0.157,0.708,0.00000607,0.912,0.684,167.073,4
spotify:track:4j0JOQJkDnO0mYXpt7n62e,"Clareou - Ao Vivo","Alma Brasileira (Ao Vivo / Edição Especial)","Diogo Nogueira",2016-09-23,221466,61,false,312ctbywossydaez37pttmshkwk4,2026-01-23T05:54:27Z,"samba,pagode","Universal Music Ltda.",0.587,0.64,0,-8.266,1,0.0337,0.757,0.00000144,0.22,0.598,102.388,4
spotify:track:1b0qrz3GCfvlpo05Dso8Re,"Pé Na Areia","Pé Na Areia (Ao Vivo)","Diogo Nogueira",2016-08-17,220866,65,false,312ctbywossydaez37pttmshkwk4,2026-01-23T05:56:10Z,"samba,pagode","Universal Music Ltda.",0.687,0.635,2,-5.936,1,0.0495,0.647,0,0.127,0.717,158.011,4
spotify:track:2kcTEMUI3TVvak0OgG4nwi,"Seus Recados - Ao Vivo","Seus Recados (Ao Vivo)","Ivete Sangalo;Liniker",2024-09-20,213287,1,false,312ctbywossydaez37pttmshkwk4,2026-01-23T05:58:09Z,"axé,pagode baiano,mpb,brazilian pop,new mpb","IM Music",0.717,0.909,7,-6.408,0,0.0831,0.0834,0.00000172,0.363,0.712,93.963,4
spotify:track:7fs6csqE3EltCrESv6cn0J,"Disritmia","Martinho da Vila","Martinho Da Vila",1974-03-30,144760,63,false,312ctbywossydaez37pttmshkwk4,2026-01-23T06:01:28Z,"samba,pagode,mpb","RCA Records Label",0.674,0.419,7,-12.413,0,0.268,0.747,0,0.0797,0.87,150.131,4
spotify:track:3DT6PksB7jmHufnbDwgHnu,"A Pagodeira - Ao Vivo","Marvvila na Área (Ao Vivo)","Marvvila;Pk;Mc Don Juan",2022-06-24,215196,59,false,312ctbywossydaez37pttmshkwk4,2026-01-23T06:03:54Z,"pagode,samba,pagode gospel,brazilian funk,trap funk,brazilian hip hop,funk consciente","WM Brazil",0.603,0.764,5,-7.097,0,0.0553,0.738,0,0.976,0.926,82.923,4
spotify:track:1XCKlzIqaehohdUTihetGN,"Cobertor de Orelha - Ao Vivo","Misturadin (Ao Vivo)","Turma do Pagode",2017-08-15,156921,67,false,312ctbywossydaez37pttmshkwk4,2026-01-23T06:11:08Z,"pagode,samba","Sony Music Entertainment",0.611,0.849,9,-6.652,1,0.0415,0.773,0,0.982,0.907,80.067,4
spotify:track:75cbS6bJO0yUVXKVrRdSgv,"Alô Virgínia - Ao Vivo","Alô Virgínia (Ao Vivo)","Grupo Chocolate;Turma do Pagode",2025-12-04,159833,73,false,312ctbywossydaez37pttmshkwk4,2026-01-23T06:14:33Z,"pagode,samba","ORIGINAL MUSIC BRASIL",0.635,0.75,6,-5.674,0,0.0465,0.605,0,0.485,0.737,89.965,4
spotify:track:54JLlb23AnzXErLRSNVIUn,"Vou Festejar","De Pé No Chão","Beth Carvalho",1978-09-21,189866,58,false,312ctbywossydaez37pttmshkwk4,2026-01-23T06:37:49Z,"samba,pagode,mpb","Sony Music Entertainment",0.621,0.629,2,-10.781,1,0.0467,0.144,0,0.0956,0.922,136.861,4
spotify:track:3KVDM9shwWEbLsRpimCuTn,"Tenha Fé, Pois Amanhã um Lindo Dia Vai Nascer","Exportação","Os Originais Do Samba",1971-07-14,167466,58,false,312ctbywossydaez37pttmshkwk4,2026-01-23T06:40:47Z,"samba,pagode","Sony Music Entertainment",0.77,0.838,5,-8.654,1,0.0411,0.208,0.00000954,0.142,0.967,93.143,4
spotify:track:52NFgCjGw7oZKIBABYKLPG,"Meu Lugar","Sambista Perfeito","Arlindo Cruz",2007-10-22,292906,64,false,312ctbywossydaez37pttmshkwk4,2026-01-23T06:44:10Z,"samba,pagode,mpb","Deckdisc",0.605,0.542,0,-7.849,1,0.038,0.68,0,0.141,0.633,147.955,4
