Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:6K1NOaqhgsV2kfNKrkgAR6,"Addicted","Addicted","Haley Joelle",2025-09-05,192124,65,false,312ctbywossydaez37pttmshkwk4,2025-11-05T13:06:37Z,"","Haley Joelle",0.678,0.161,9,-10.014,0,0.0332,0.858,0,0.172,0.462,93.947,4
spotify:track:3Pa79iLMs4OxJIE9IEUh8o,"Câlins Collés","Saudade Palace","Myra",2023-02-17,172800,33,false,312ctbywossydaez37pttmshkwk4,2024-05-13T13:07:45Z,"french r&b,french pop","Labréa / Turenne Music",0.91,0.44,4,-8.78,0,0.353,0.518,0.000471,0.278,0.697,100.014,4
spotify:track:0J1rfWxfvcmoFQnN1Z0iFf,"des bisous","des bisous","Myra;aupinard",2023-10-26,172052,47,false,312ctbywossydaez37pttmshkwk4,2024-05-13T13:06:33Z,"french r&b,french pop,bossa nova","Labréa / Turenne Music",0.778,0.531,11,-7.842,0,0.212,0.707,0.0194,0.25,0.651,180.025,4
spotify:track:0kVwebIGsouGsashPG88PF,"You feel me","Pink Moon","Sskyron;Bïoz",2020-12-22,215333,32,false,312ctbywossydaez37pttmshkwk4,2024-05-13T13:06:17Z,"maloya,zouk,kizomba,shatta","SSKYRON",0.831,0.495,5,-7.292,0,0.171,0.307,0.000898,0.16,0.489,90.053,4
spotify:track:276TmAUm4AyKkCUiF1hwVK,"After","After","DEVA",2021-07-16,130666,3,true,312ctbywossydaez37pttmshkwk4,2024-05-11T03:37:57Z,"latin r&b","DEVA distributed by Altafonte",0.686,0.392,9,-9.11,0,0.177,0.486,0.0284,0.108,0.331,179.841,4
spotify:track:5FFUDCkMjxuK6XQZNumN55,"Love Me Like (feat. DUCKWRTH)","Love Me Like","Rayana Jay;Duckwrth",2019-03-22,164746,50,true,312ctbywossydaez37pttmshkwk4,2024-05-11T03:37:37Z,"alternative r&b","All Angles / EMPIRE",0.874,0.558,5,-9.814,0,0.225,0.731,0.000638,0.106,0.451,118.021,4
spotify:track:7Cv8DRBiNOPpftEFfDcGMs,"Pom Pom","Pom Pom","Myra",2021-12-27,155151,41,false,312ctbywossydaez37pttmshkwk4,2024-05-11T03:36:43Z,"french r&b,french pop","Labréa / Turenne Music",0.719,0.264,7,-14.096,1,0.271,0.515,0.0000605,0.107,0.806,197.992,4
spotify:track:1gDKjutKc25dm5VZKNq79W,"For Gerard","Lost in Paradïse, Pt. 2","Naïka",2021-06-25,203023,55,false,312ctbywossydaez37pttmshkwk4,2024-05-11T03:36:27Z,"","Naïka Music",0.742,0.55,5,-8.352,0,0.139,0.419,0.0279,0.163,0.816,167.888,4
spotify:track:2SAIOfbBGw6Vvt8sW3qkP2,"Maybe Baby","Maybe Baby","maye",2022-02-18,193429,47,false,312ctbywossydaez37pttmshkwk4,2024-05-11T03:36:15Z,"latin indie,latin alternative","Pink Poetry & EO Entertainment",0.713,0.325,2,-11.864,1,0.0708,0.829,0,0.515,0.351,104.692,4
spotify:track:4UtTytHvhq26U8shSdDDAa,"Still - Bonus","Fabrics of the Heart","Liquideep",2010-05-25,368920,48,false,312ctbywossydaez37pttmshkwk4,2021-08-05T14:48:33Z,"house","Mentalwave",0.772,0.629,11,-9.551,1,0.0476,0.0773,0.000685,0.0974,0.865,119.978,4
spotify:track:7t1y3tsgDKQnIGp7jw10Po,"Umenitosha","The 4th Republic","Prince Kaybee;Polaris Pauline",2021-03-05,332419,43,false,312ctbywossydaez37pttmshkwk4,2021-08-05T14:48:33Z,"gqom,3 step,afro tech,amapiano,afro house,afro soul,private school piano,house,afro r&b","Universal Music (Pty) Ltd.",0.834,0.401,1,-9.531,0,0.0514,0.00877,0.0358,0.102,0.239,124.002,4
spotify:track:0yBN7Ta8Q4QdnURdfevoAM,"Watch","Watch","VALORANT;Stella Mwangi",2021-06-21,152149,0,false,312ctbywossydaez37pttmshkwk4,2024-02-22T06:47:18Z,"norwegian hip hop","Riot Games",0.785,0.844,1,-5.573,1,0.228,0.0113,0.000484,0.0877,0.895,139.913,4
spotify:track:2DPXhOOJwF3M6dlnQDqa71,"Soldier (feat. Tion Wayne)","Soldier (feat. Tion Wayne)","Highlyy;Tion Wayne",2022-08-25,150901,51,true,312ctbywossydaez37pttmshkwk4,2024-04-29T00:07:41Z,"afroswing,afrobeats,afro r&b,uk drill,drill,grime,uk grime","EMI",0.787,0.36,3,-11.122,0,0.114,0.68,0.000328,0.115,0.729,116.604,4
spotify:track:00Ab7huoVjqKfhtzzu8vYE,"Señor","Señor","Desta French",2021-08-13,150184,0,false,312ctbywossydaez37pttmshkwk4,2024-05-01T03:29:12Z,"","Unity Rec",0.755,0.728,1,-6.985,0,0.0406,0.306,0.205,0.0874,0.709,112.978,4
spotify:track:6etwirSInfuJrSOlogS6Sh,"American Boy","Shine","Estelle;Kanye West",2008-03-28,284733,82,true,312ctbywossydaez37pttmshkwk4,2024-05-02T14:33:18Z,"rap","Round Hill Records",0.693,0.729,0,-2.99,1,0.378,0.171,0,0.07,0.521,117.848,4
spotify:track:1FCsK0oKWCtDOYRPYSrYgO,"Idea 22","Idea 22","Gibran Alcocer",2022-12-16,152000,1,false,312ctbywossydaez37pttmshkwk4,2024-05-02T14:39:16Z,"","The System",0.328,0.0704,0,-20.147,0,0.0319,0.986,0.946,0.108,0.15,51.696,4
spotify:track:6AcFiVsHvDtat3rmHNK2Nf,"Early","Early","Joy Crookes;Jafaris",2019-10-04,193934,50,true,312ctbywossydaez37pttmshkwk4,2024-05-02T14:39:31Z,"alternative r&b","Speakerbox Recordings",0.785,0.435,0,-9.115,1,0.147,0.223,0.00232,0.124,0.633,138.934,4
spotify:track:1JseAs562lQva7llJ0bibp,"Like Tu Danz","Colour","Juls;Kida Kudz;Ms Banks;Pa Salieu",2019-07-26,209235,37,true,312ctbywossydaez37pttmshkwk4,2024-05-02T14:39:38Z,"alté,afrobeats,afroswing,afrobeat,afropop,afro r&b,afro soul,azonto,grime,uk grime,uk drill","Lost Ones",0.691,0.688,5,-7.698,0,0.387,0.0367,0,0.0736,0.629,101.275,4
spotify:track:1TbxAY9cb9MbvTifjcvSkJ,"this is what winter feels like","this is what winter feels like","JVKE",2024-01-12,194782,67,false,312ctbywossydaez37pttmshkwk4,2024-05-02T14:39:43Z,"","JVKE",0.59,0.506,2,-5.7,1,0.0596,0.652,0.466,0.375,0.356,115.051,4
spotify:track:5h9DWBKM0eXCsKIemi0nyM,"Feet Don't Fail Me Now - Live Acoustic Version","Feet Don't Fail Me Now (Live Acoustic Version)","Joy Crookes",2021-07-23,206229,47,false,312ctbywossydaez37pttmshkwk4,2024-05-02T14:40:08Z,"alternative r&b","Speakerbox Recordings",0.776,0.3,10,-6.285,0,0.0392,0.558,0.000239,0.112,0.525,109.171,4
spotify:track:7lsJqrQnXXGkopYdvigzbu,"Solo - Acoustic","Solo (Acoustic)","Myles Smith",2023-12-01,173663,36,false,312ctbywossydaez37pttmshkwk4,2024-05-02T14:40:22Z,"","RCA Records Label",0.643,0.246,0,-8.386,1,0.0325,0.811,0,0.106,0.475,116.664,4
spotify:track:4Skkx52Dh8yo4G1ijAEGs3,"Solo","Solo","Myles Smith",2023-11-15,199756,69,false,312ctbywossydaez37pttmshkwk4,2024-05-02T14:40:34Z,"","RCA Records Label",0.586,0.439,0,-7.993,1,0.0346,0.715,0,0.117,0.365,122.877,4
spotify:track:6TTR7tXftck5lU7BPRY7bV,"Santorini Coffee","THENIGHTISYOUNG.","melvitto",2019-02-22,134365,62,false,312ctbywossydaez37pttmshkwk4,2024-05-06T13:30:01Z,"afrobeats,afrobeat,alté,afroswing,afro r&b,afropop,afro soul","melvitto under exclusive license to Amuseio AB",0.801,0.37,9,-6.283,0,0.0536,0.794,0.000595,0.185,0.836,102.003,4
spotify:track:5jLBhr4USswMtmsItEAFqf,"Vision","Qing Madi","Qing Madi",2023-11-17,146000,56,false,312ctbywossydaez37pttmshkwk4,2024-05-08T19:51:39Z,"afrobeats,afro r&b,afrobeat,afropop,afro soul,afropiano,alté","Bu Vision",0.633,0.374,7,-7.332,0,0.121,0.412,0.00073,0.11,0.508,121.017,5
spotify:track:6GkFuU6FVfx866bhM1T1Iz,"Ole (feat. BNXN)","Qing Madi","Qing Madi;BNXN",2023-11-17,170322,64,false,312ctbywossydaez37pttmshkwk4,2024-05-08T19:51:53Z,"afrobeats,afro r&b,afrobeat,afropop,afro soul,afropiano,alté,afro adura,afroswing","Bu Vision",0.521,0.584,8,-5.692,0,0.104,0.242,0,0.276,0.556,118.932,5
spotify:track:5c1rWQAa8GX8LgCC9h3d1N,"American Love","Qing Madi","Qing Madi",2023-11-17,189015,61,false,312ctbywossydaez37pttmshkwk4,2024-05-08T19:53:29Z,"afrobeats,afro r&b,afrobeat,afropop,afro soul,afropiano,alté","Bu Vision",0.415,0.786,0,-5.604,0,0.172,0.379,0,0.153,0.458,192.408,4
spotify:track:7IehzBxyvb9egSpZFXZwTe,"Antidote (feat. Adekunle Gold)","And Then Life Was Beautiful","Nao;Adekunle Gold",2021-09-24,202626,48,false,312ctbywossydaez37pttmshkwk4,2024-05-08T19:55:16Z,"alternative r&b,uk r&b,afrobeats,afrobeat,afropop,alté,afro r&b,afropiano,afro soul,afroswing","RCA Records Label",0.776,0.696,11,-5.373,0,0.0733,0.203,0.0000162,0.177,0.849,100.077,4
spotify:track:4rXLjWdF2ZZpXCVTfWcshS,"fukumean","a Gift & a Curse","Gunna",2023-06-16,125040,79,true,312ctbywossydaez37pttmshkwk4,2024-05-14T03:52:08Z,"melodic rap","300 Entertainment",0.847,0.622,1,-6.747,0,0.0903,0.119,0,0.285,0.22,130.001,4
spotify:track:48WTGGIeSFD5ZMF51Rm4Y9,"Another Lifetime","Saturn","Nao",2018-10-26,209466,52,false,312ctbywossydaez37pttmshkwk4,2024-05-14T04:01:03Z,"alternative r&b,uk r&b","RCA Records Label",0.452,0.317,9,-9.403,0,0.0478,0.415,0.000015,0.184,0.272,59.561,4
spotify:track:5PkZ0mhNgfuz7SqiuruKlh,"If You Ever (feat. 6lack)","If You Ever (feat. 6lack)","Nao;6LACK",2018-10-23,221447,47,false,312ctbywossydaez37pttmshkwk4,2024-05-14T04:01:28Z,"alternative r&b,uk r&b","RCA Records Label",0.488,0.62,0,-7.399,0,0.123,0.0895,0.0000303,0.122,0.378,111.996,4
spotify:track:4Iam3vZMJCMltFkK9mNruw,"Bad Blood","For All We Know","Nao",2016-07-29,240626,52,false,312ctbywossydaez37pttmshkwk4,2024-05-14T04:01:44Z,"alternative r&b,uk r&b","RCA Records Label",0.494,0.412,5,-5.687,0,0.133,0.639,0.00000446,0.0631,0.378,113.108,4
spotify:track:0SBjNhOuMeUM9nwanocvsm,"Petty Lover","Pretty Dreamer / Petty Lover","Jaz Karis",2018-06-22,160654,52,true,312ctbywossydaez37pttmshkwk4,2024-05-14T04:03:12Z,"uk r&b","Independent",0.764,0.363,6,-10.113,1,0.572,0.803,0.00000467,0.16,0.587,119.855,5
spotify:track:2YBywWeiTiso2SuSg8PWTG,"Vibranium","Vibranium","Chunkz;Neji",2018-12-07,208509,51,false,312ctbywossydaez37pttmshkwk4,2024-05-18T07:40:44Z,"afroswing","Universal-Island Records Ltd.",0.726,0.813,6,-5.597,0,0.0451,0.0585,0.000498,0.315,0.382,105.04,4
spotify:track:0Do59HJNKcUliLc888Y2eT,"Woodstock (Psychedelic Fiction)","Woodstock (Psychedelic Fiction)","Jon Bellion",2015-03-31,282500,38,false,312ctbywossydaez37pttmshkwk4,2024-05-18T23:37:21Z,"","Capitol Records (CAP)",0.752,0.638,0,-6.184,1,0.0608,0.462,0.00000468,0.0597,0.699,134.01,4
spotify:track:7gm2omqXDTaT4sS17hSu8T,"Fresh Eyes","The Good Parts","Andy Grammer",2017-12-01,198001,67,false,312ctbywossydaez37pttmshkwk4,2024-05-19T04:30:12Z,"","S-Curve Records",0.827,0.56,0,-6.685,1,0.0327,0.55,0.0000366,0.15,0.873,122.056,4
spotify:track:0uLPKDuIhkIhttiwezNdiG,"Jesus in LA","These Two Windows","Alec Benjamin",2020-05-29,171539,58,false,312ctbywossydaez37pttmshkwk4,2024-05-19T04:30:36Z,"","P2020",0.787,0.558,0,-5.237,1,0.0414,0.664,0,0.347,0.706,94.049,4
spotify:track:0G9vbgmLrDqjV4NUCSrsIg,"Loose (feat. KSI)","Loose (feat. KSI)","S1mba;KSI",2020-09-11,152436,42,true,312ctbywossydaez37pttmshkwk4,2024-05-19T18:05:22Z,"afroswing","Parlophone UK",0.837,0.624,1,-4.884,1,0.0763,0.0434,0,0.141,0.725,108.983,4
spotify:track:0osPX8TruIebOhKuG6GK8C,"On My Level (feat. Too $hort)","Rolling Papers","Wiz Khalifa;Too $hort",2011-03-29,272160,65,true,312ctbywossydaez37pttmshkwk4,2024-05-26T11:14:07Z,"rap,hyphy,west coast hip hop,g-funk,old school hip hop,gangster rap","Rostrum/Atlantic",0.72,0.514,1,-7.108,1,0.132,0.146,0.00713,0.107,0.212,142.98,4
spotify:track:7ycWLEP1GsNjVvcjawXz3z,"Praise The Lord (Da Shine) (feat. Skepta)","TESTING","A$AP Rocky;Skepta",2018-05-25,205813,82,true,312ctbywossydaez37pttmshkwk4,2024-05-26T13:00:10Z,"rap,grime,uk grime","A$AP Worldwide/Polo Grounds Music/RCA Records",0.854,0.569,5,-8.151,0,0.106,0.0609,0.0816,0.1,0.294,80.015,4
spotify:track:4D6TpthzUVNTjWQqfBW5Kb,"All Of The Lights (Interlude)","My Beautiful Dark Twisted Fantasy","Kanye West",2010-11-22,62253,60,true,312ctbywossydaez37pttmshkwk4,2024-06-06T08:24:24Z,"rap","Roc-A-Fella",0.296,0.0792,10,-16.569,0,0.0389,0.902,0.591,0.128,0.496,110.95,3
spotify:track:22L7bfCiAkJo5xGSQgmiIO,"All Of The Lights","My Beautiful Dark Twisted Fantasy","Kanye West",2010-11-22,299613,81,true,312ctbywossydaez37pttmshkwk4,2024-06-06T08:22:09Z,"rap","Roc-A-Fella",0.531,0.803,1,-3.284,1,0.0717,0.0796,0.0000171,0.176,0.221,142.113,4
